Object Id	sts_id	sfl_id	msc_record_no	msc_record_address	msc_record_length	msc_record_type	msc_filename	msc_duplicate_hashcode	msc_duplicate_fl	msc_event_type	msc_rec_type_name	msc_call_type	msc_a_number	msc_a_number_normalized	msc_b_number	msc_b_number_normalized	msc_c_number	msc_c_number_normalized	msc_roaming_number	msc_start_dttm	msc_end_dttm	msc_duration	msc_call_direction	msc_call_status	msc_subscriber_type	msc_imsi	msc_imei	msc_address	msc_record_sequence_no	msc_ldc_indicator	msc_ldc_sequence_no	msc_ldc_correlation_id	msc_ldc_status	msc_ldc_tag	msc_bearer_service	msc_cell_id	msc_roaming_partner	msc_switch_name	msc_inc_route	msc_inc_operator_name	msc_out_route	msc_out_operator_name	msc_smsc_address	msc_lrn	msc_is_interconnect	msc_is_roaming	msc_part_key	msc_extra1	msc_extra2	msc_extra3	msc_extra4	msc_extra5	msc_extra6	msc_extra7	msc_extra8	msc_extra9	msc_extra10
100003	62	4002	2	175	174	CDR	MSC_0001241019_101112.txt	320244660	false	Voice	MOC	NLD	9986113288	9986113288	9367853756	9367853756				03/08/2020 06:10:00	03/08/2020 05:10:00	60	Outgoing	Normal Release	Prepaid	177456192345711	9986113288	MSC2	1	0					1	1	1	Ericssion							false	false	6										
100032	62	4002	31	5420	184	CDR	MSC_0001241019_101112.txt	1083824401	false	Voice	CF	International	9367453766	9367453766	9767453756	9767453756				03/08/2020 17:09:00	03/08/2020 16:09:00	60	Outgoing	Normal Release	Postpaid	177456192345709	9367453766	MSC2	1	0					1	1	1	Ericssion							false	false	17										
100042	62	4002	41	7224	174	CDR	MSC_0001241019_101112.txt	1346278971	false	Voice	CF	NLD	9986713287	9986713287	9887453756	9887453756				03/08/2020 05:03:00	03/08/2020 04:03:00	60	Outgoing	Normal Release	Postpaid	177456192345715	9986713287	MSC2	1	0					1	1	1	Ericssion							false	false	5										
100058	62	4002	57	10087	175	CDR	MSC_0001241019_101112.txt	1411498907	false	Voice	MTC	NLD	9986713287	9986713287	9367873756	9367873756				03/08/2020 23:10:00	03/08/2020 22:10:00	60	Incoming	Normal Release	Postpaid	177456192345715	9986713287	MSC8	1	0					1	1	1	Ericssion							false	false	23										
100069	62	4002	68	12053	175	CDR	MSC_0001241019_101112.txt	363564276	false	Voice	MTC	NLD	9986113288	9986113288	9367853756	9367853756				03/08/2020 18:12:00	03/08/2020 16:12:00	120	Incoming	Normal Release	Prepaid	177456192345711	9986113288	MSC9	1	0					1	1	1	Ericssion							false	false	18										
100094	62	4002	93	16525	176	CDR	MSC_0001241019_101112.txt	345564245	false	Voice	MOC	Local	9986113287	9986113287	9777453756	9777453756				03/08/2020 13:12:00	03/08/2020 12:02:00	70	Outgoing	Normal Release	Prepaid	177456192345710	9986113287	MSC5	1	0					1	1	1	Ericssion							false	false	13										
100096	62	4002	95	16888	176	CDR	MSC_0001241019_101112.txt	298104596	false	Voice	MOC	Local	9986113288	9986113288	9367853756	9367853756				03/08/2020 00:01:00	03/07/2020 23:01:00	60	Outgoing	Normal Release	Prepaid	177456192345711	9986113288	MSC7	1	0					1	1	1	Ericssion							false	false	0										
100118	62	4002	117	20878	177	CDR	MSC_0001241019_101112.txt	320212175	false	Voice	MOC	Local	9986113777	9986113777	9367853756	9367853756				03/08/2020 06:07:00	03/08/2020 05:07:00	60	Outgoing	Normal Release	Postpaid	177456192345713	9986113777	MSC9	1	0					1	1	1	Ericssion							false	false	6										
100120	62	4002	119	21234	177	CDR	MSC_0001241019_101112.txt	352644179	false	Voice	MTC	Local	9986113289	9986113289	9777453756	9777453756				03/08/2020 15:10:00	03/08/2020 14:00:00	70	Incoming	Normal Release	Postpaid	177456192345712	9986113289	MSC1	1	0					1	1	1	Ericssion							false	false	15										
100141	62	4002	140	25006	185	CDR	MSC_0001241019_101112.txt	1379039386	false	Voice	MTC	International	9986713288	9986713288	9369313756	9369313756				03/08/2020 14:09:00	03/08/2020 12:09:00	120	Incoming	Normal Release	Prepaid	177456192345716	9986713288	MSC2	1	0					1	1	1	Ericssion							false	false	14										
